Altium Designer Pick and Place Locations
\\Mac\Home\Documents\Sinara\Altium\SPE_router\Project Outputs for DiPho_digital\Pick Place\Pick Place for SPE_router.csv

========================================================================================================================
File Design Information:

Date:       25.03.24
Time:       12:44
Revision:   747f432840e5d3f1f0cd2463f8cec4b9e17cf544
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"R26","TopLayer","RESC1005X40N","3346.457","5059.055","0"
"R25","TopLayer","RESC1005X40N","3145.669","4755.905","180"
"R24","TopLayer","RESC1005X40N","2795.276","4960.630","180"
"R23","TopLayer","RESC1005X40N","3047.244","5413.386","270"
"R22","TopLayer","RESC1005X40N","3129.921","4862.205","270"
"R21","TopLayer","RESC1608X55N","2204.724","5984.252","180"
"R20","TopLayer","RESC1005X40N","3346.457","5098.425","0"
"R19","TopLayer","RESC1005X40N","2200.787","5850.394","0"
"R18","TopLayer","RESC1005X40N","2633.001","5280.638","225"
"R17","TopLayer","RESC1005X40N","2687.008","5334.646","45"
"R16","TopLayer","RESC1005X40N","2582.117","5170.700","225"
"R15","TopLayer","RESC1005X40N","2637.795","5226.378","45"
"R14","TopLayer","RESC1005X40N","1604.331","3406.693","90"
"R13","TopLayer","RESC1005X40N","1643.701","3483.071","270"
"R12","TopLayer","RESC1005X40N","1683.071","3483.071","90"
"R11","TopLayer","RESC1005X40N","1604.331","3249.213","90"
"R10","TopLayer","RESC1005X40N","490.945","492.126","180"
"R9","TopLayer","RESC1005X40N","412.205","511.811","180"
"R8","TopLayer","RESC1005X40N","335.827","511.811","0"
"R7","TopLayer","RESC1005X40N","335.827","590.551","0"
"R6","TopLayer","RESC1005X40N","569.685","511.811","180"
"R5","TopLayer","RESC1005X40N","1733.465","4163.386","180"
"R4","TopLayer","RESC1005X40N","1733.465","3917.323","180"
"PCBM1","TopLayer","PCBM_SILVERTEL_AG5810","748.032","4014.961","270"
"MP4","TopLayer","9774065151","2622.000","4558.732","0"
"MP3","TopLayer","9774065151","3527.512","4558.732","0"
"MP2","TopLayer","9774065151","2622.000","2275.268","0"
"MP1","TopLayer","9774065151","3527.512","2275.268","0"
"L7_S1","TopLayer","INDC1608X100N","2598.425","1633.858","0"
"L7_S0","TopLayer","INDC1608X100N","1023.622","1633.858","0"
"L6_S1","TopLayer","FP-DLW32MH201XK2L-MFG","2755.905","1574.803","90"
"L6_S0","TopLayer","FP-DLW32MH201XK2L-MFG","1181.102","1574.803","90"
"L5","TopLayer","INDC1608X95N","2814.961","5403.543","0"
"L4","TopLayer","INDC1608X95N","2814.961","5472.441","180"
"L1","TopLayer","MSD1278H-333MED","1968.504","4704.724","270"
"J5","TopLayer","AMPHENOL_73725-0110","3248.032","5835.827","180"
"J4","TopLayer","AMPHENOL_73725-0110","2657.480","5835.827","180"
"J2","TopLayer","SWITCHCRAFT_712RA","1004.080","5953.192","180"
"J1","TopLayer","SLW-120-01-T-D","3049.756","3417.000","90"
"IC9_S1","TopLayer","QFN40P400X400X100_HS-33N","2696.850","1870.079","90"
"IC9_S0","TopLayer","QFN40P400X400X100_HS-33N","1122.047","1870.079","90"
"IC7","TopLayer","FP-LAN9512-JZX-TR-IPC_B","3070.866","5137.795","90"
"IC6","TopLayer","MPM3610A","2079.724","629.921","90"
"IC5","TopLayer","MPM3610A","1722.441","3313.976","0"
"IC4","TopLayer","MPM3610A","504.921","629.921","90"
"IC3","TopLayer","SOIC127P700X242-4N","1614.173","4064.961","0"
"IC2","TopLayer","SOIC127P700X242-4N","1614.173","3818.898","0"
"D9","TopLayer","DIOM5336X265N","2027.559","5472.441","90"
"D8","TopLayer","DIOM5336X265N","1673.228","5472.441","90"
"D7","TopLayer","DIOM5336X265N","1850.394","5472.441","90"
"D6","TopLayer","DIOM5336X265N","1496.063","5472.441","90"
"D5","TopLayer","DIOM7959X262N","2263.780","5212.598","270"
"D4","TopLayer","DIOM5336X265N","2027.559","5157.480","90"
"D3","TopLayer","DIOM5336X265N","1673.228","5157.480","90"
"D2","TopLayer","DIOM5336X265N","1850.394","5157.480","90"
"D1","TopLayer","DIOM5336X265N","1496.063","5157.480","90"
"C55_S1","TopLayer","CAPC1005X55N","2677.165","1712.598","0"
"C55_S0","TopLayer","CAPC1005X55N","1102.362","1712.598","0"
"C54_S1","TopLayer","CAPC1005X55N","2755.905","2027.559","180"
"C54_S0","TopLayer","CAPC1005X55N","1181.102","2027.559","180"
"C53_S1","TopLayer","CAPC1005X55N","2677.166","2027.559","0"
"C53_S0","TopLayer","CAPC1005X55N","1102.362","2027.559","0"
"C52_S1","TopLayer","CAPC1005X55N","2519.685","1870.079","0"
"C52_S0","TopLayer","CAPC1005X55N","944.882","1870.079","0"
"C51_S1","TopLayer","CAPC1005X55N","2874.016","1771.653","180"
"C51_S0","TopLayer","CAPC1005X55N","1299.213","1771.653","180"
"C50_S1","TopLayer","CAPC2012X135N","2685.039","1220.472","0"
"C50_S0","TopLayer","CAPC2012X135N","1110.236","1220.472","0"
"C49_S1","TopLayer","CAPC2012X135N","2826.772","1220.472","180"
"C49_S0","TopLayer","CAPC2012X135N","1251.968","1220.472","180"
"C48_S1","TopLayer","CAPC1005X55N","2775.591","1435.039","270"
"C48_S0","TopLayer","CAPC1005X55N","1200.787","1435.039","270"
"C47_S1","TopLayer","CAPC1005X55N","2736.220","1435.039","270"
"C47_S0","TopLayer","CAPC1005X55N","1161.417","1435.039","270"
"C46","TopLayer","CAPC1005X55N","2923.228","5413.386","270"
"C45","TopLayer","CAPC1005X55N","2795.276","5009.842","0"
"C44","TopLayer","CAPC1005X55N","2962.598","5413.386","270"
"C43","TopLayer","CAPC1005X55N","3100.394","5413.386","270"
"C42","TopLayer","CAPC1005X55N","3218.504","5393.701","270"
"C41","TopLayer","CAPC1005X55N","3346.457","5187.008","180"
"C40","TopLayer","CAPC1005X55N","3346.457","4980.315","180"
"C39","TopLayer","CAPC1005X55N","2795.276","5334.646","0"
"C38","TopLayer","CAPC1005X55N","2795.276","5255.906","0"
"C37","TopLayer","CAPC1005X55N","2795.276","5187.008","0"
"C36","TopLayer","CAPC1005X55N","2795.276","5118.110","0"
"C35","TopLayer","CAPC1005X55N","2795.276","4921.260","0"
"C34","TopLayer","CAPC1005X55N","3015.748","4862.205","90"
"C33","TopLayer","CAPC1005X55N","3090.551","4862.205","90"
"C32","TopLayer","CAPC1005X55N","3139.764","5413.386","270"
"C31","TopLayer","CAPC1005X55N","3198.819","4862.205","90"
"C30","TopLayer","CAPC1709X95N","3257.874","4842.520","90"
"C29","TopLayer","CAPC1005X55N","3228.347","5610.236","270"
"C28","TopLayer","CAPC1005X55N","2637.795","5610.236","270"
"C27","TopLayer","CAPC2012X135N","1338.583","6062.992","180"
"C26","TopLayer","CAPC1005X55N","3181.102","4799.213","180"
"C25","TopLayer","CAPC2012X145N","2204.724","5909.449","180"
"C24","TopLayer","CAPC2012X135N","2204.724","6062.992","0"
"C21","TopLayer","CAPC3225X140N","1801.181","3503.937","180"
"C20","TopLayer","CAPC1005X55N","1564.960","3250.000","270"
"C19","TopLayer","CAPC1005X55N","411.417","472.441","180"
"C18","TopLayer","CAPC3225X140N","511.811","1102.362","0"
"C17","TopLayer","CAPC3225X140N","511.811","944.882","0"
"C16","TopLayer","CAPC3225X140N","511.811","787.402","0"
"C13","TopLayer","CAPC3225X140N","314.961","708.661","270"
"C12","TopLayer","CAPC1005X55N","568.898","472.441","0"
"C11","TopLayer","CAPAE830X1020N","295.276","5669.291","270"
"C10","TopLayer","CAPC1005X55N","669.291","2559.055","270"
"C9","TopLayer","CAPAE830X1020N","748.032","2244.095","270"
"C8","TopLayer","CAPC3216X180N","600.394","5875.984","180"
"C7","TopLayer","CAPC3216X180N","807.087","2559.055","180"
"C6","TopLayer","CAPC2220X155N","1535.433","4429.134","270"
"C5","TopLayer","CAPC2220X155N","1535.433","4783.465","90"
"C4","TopLayer","CAPAE830X1020N","334.646","2244.095","270"
"C3","TopLayer","CAPC3216X180N","393.701","2559.055","180"
